"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"2.2uF";;;
2;"R4,R1,R3,R6,R8,R2,R9,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10K";;;
3;"C2,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
4;"J3";"PinHeader_2x04_P2.54mm_Vertical";1;"TestPoints";;;
5;"U1";"SOT-89-3";1;"MCP1700-3302E_SOT89";;;
6;"Q2";"SOT-23";1;"2N7002K";;;
7;"J2";"PinHeader_1x08_P2.54mm_Vertical";1;"SWD_PICKIT";;;
8;"D1,D2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";2;"WS2812B";;;
9;"J1";"USB_Micro-B_Wuerth_629105150521_CircularHoles";1;"USB_B_Micro";;;
10;"U3";"TQFP-32_7x7mm_P0.8mm";1;"ATSAMD21E18A-A";;;
11;"U2";"LGA14_2P5X3X0P91_TDK";1;"ICM-42688-P";;;
12;"C8";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.01uF";;;
13;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
14;"SW2,SW1";"SW_SPST_B3SL-1022P";2;"SW_Push";;;
15;"Q1";"SOT-23";1;"BSS138";;;
16;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
17;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
18;"M1";"VZ6DC_VIB";1;"VZ6DCBB0735091";;;
19;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.1K";;;
20;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.1uF";;;
21;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10 uF";;;
22;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
